"","x"
"THEMIS2",0.517001267878841
"RPA2",0.483022894944198
"XKR8",0.62667649558522
"EYA3",0.423802455768094
"SPCS2P4",0.763865793849875
"PTAFR",0.550942632717627
"DNAJC8",0.301037667420233
"ATPIF1",0.325602694951322
"RP5-1092A3.4",0.405293116453497
"SESN2",0.498819907313087
"MED18",0.361631580354078
"PHACTR4",0.405147957863751
"RCC1",0.268144120648817
"SNORA73B",0.49218758133944
"RP4-669K10.8",0.741039228937807
"TRNAU1AP",0.401117752734462
"SNORA61",0.419395423436166
"SNORA44",0.535365272163321
"SNHG12",0.189386567524469
"RAB42",0.558189075965719
"TAF12",0.345359396775968
"RP11-442N24__B.1",0.406229046443644
"GMEB1",0.31224361640542
"YTHDF2",0.24940313021382
"OPRD1",0.677341632574834
"EPB41",0.52753969458804
"TMEM200B",0.391426315513817
"uc_338",0.744387413853511
"SRSF4",0.191878647428607
"MECR",0.20577502335366
"PTPRU",0.666055586119147
"MATN1-AS1",0.492308204555322
"LAPTM5",0.387501507409533
"SDC3",0.586108808497492
"PUM1",0.210416466415074
"NKAIN1",0.336131862045005
"RP11-490K7.4",0.562439446919394
"SNRNP40",0.400607940245823
"ZCCHC17",0.494531236441702
"FABP3",0.369552416121401
"SERINC2",0.746929224362168
"TINAGL1",0.549673390129316
"RP11-73M7.6",0.663656387492425
"PEF1",0.231841825625301
"COL16A1",0.589238745660231
"ADGRB2",0.64068472761257
"PTP4A2",0.190414460416399
"KHDRBS1",0.333360852989326
"TMEM39B",0.350088540750769
"KPNA6",0.287640763366709
"TXLNA",0.393521073163055
"CCDC28B",0.218817044109532
"IQCC",0.476925485564001
"RP4-622L5.7",0.679592166327186
"EIF3I",0.233781996725653
"TMEM234",0.485763403868854
"MTMR9LP",0.409248893864829
"FAM167B",0.451308769085441
"LCK",0.644744804004563
"HDAC1",0.623173275933864
"MARCKSL1",0.44275394389511
"TSSK3",0.456020467353614
"FAM229A",0.501100802420753
"BSDC1",0.536852744192694
"ZBTB8A",0.529726759208376
"ZBTB8OS",0.387185864168889
"RBBP4",0.370668972722362
"SYNC",0.449022599286791
"KIAA1522",0.656963858067188
"S100PBP",0.442099221732324
"YARS",0.17243698534473
"FNDC5",0.315817322313707
"HPCA",0.884843917672208
"TMEM54",0.805085168519293
"RNF19B",0.337893381026544
"AK2",0.593912092132702
"AZIN2",0.328315474885521
"RP11-131M11.2",0.672456442672447
"RP11-131M11.3",0.613501718888759
"TRIM62",0.364966805291795
"ZNF362",0.597188229606429
"RP11-415J8.7",0.751348358980916
"RP11-415J8.3",0.250484246663379
"RN7SKP16",0.418017315925363
"PHC2",0.145136597055495
"ZSCAN20",0.748304724873179
"GJB5",0.932525348316899
"GJB3",0.975340459037668
"GJA4",0.597001005952309
"RP5-997D16.2",0.631369557261349
"SMIM12",0.217030858981985
"DLGAP3",0.633374134615538
"RP11-244H3.1",0.384319989339631
"TMEM35B",0.356762873443716
"ZMYM6",0.630236251736175
"ZMYM1",0.641145135970068
"SFPQ",0.384526835418691
"ZMYM4",0.275958355992957
"RPL5P4",0.735062551814272
"KIAA0319L",0.456968529857086
"NCDN",0.558761005921754
"TFAP2E",0.629857314518713
"RP4-728D4.2",0.73196048873956
"PSMB2",0.253024625691288
"C1orf216",0.771451343440506
"AGO4",0.342797461767047
"AGO1",0.522939254534292
"AGO3",0.253852834656671
"ADPRHL2",0.441275340358915
"COL8A2",0.474845252838684
"MAP7D1",0.324436511980184
"TRAPPC3",0.310125161957276
"THRAP3",0.332607085764511
"SH3D21",0.480856467010161
"EVA1B",0.367852161480944
"RP11-268J15.5",0.38664274082401
"STK40",0.138238940686553
"LSM10",0.324094321481691
"OSCP1",0.353264746590122
"MRPS15",0.270216657259864
"CSF3R",0.652453719876291
"GRIK3",0.864922114121088
"LINC01137",0.626019031987419
"ZC3H12A",0.500107604969764
"MEAF6",0.493119226939229
"SNIP1",0.471049792995547
"DNALI1",0.63462757511294
"GNL2",0.123885466006892
"C1orf109",0.29204251351941
"CDCA8",0.732427403206554
"MANEAL",0.575129899936549
"YRDC",0.191875731125901
"C1orf122",0.383391366623704
"MTF1",0.31931358688107
"INPP5B",0.738184920667031
"SF3A3",0.63142289626865
"FHL3",0.297754057307496
"UTP11",0.421927872682228
"POU3F1",0.622427114111248
"RRAGC",0.323229101416491
"RP5-864K19.4",0.710911507745454
"MYCBP",0.579862999095893
"GJA9",0.751706772455699
"RHBDL2",0.754271031422431
"AKIRIN1",0.193331517518089
"NDUFS5",0.35522836987082
"MACF1",0.716332980386133
"BMP8A",0.534549466225111
"OXCT2P1",0.681026472633309
"RP11-69E11.4",0.390444638223501
"PPIEL",0.639957259296703
"SNORA55",0.867777020970071
"PABPC4",0.50419932442047
"HEYL",0.727277148249928
"NT5C1A",0.349762513126461
"HPCAL4",0.723896300691232
"PPIE",0.360998902374489
"OXCT2",0.625646961833412
"BMP8B",0.701824760971666
"TRIT1",0.537201829637236
"MYCL",0.699347884617603
"MFSD2A",0.654304167646118
"RP3-342P20.2",0.731233611660005
"CAP1",0.234571173955214
"PPT1",0.292799070473292
"RLF",0.273813451602162
"RP1-39G22.7",0.541695069607181
"ZMPSTE24",0.356068355429067
"COL9A2",0.653216625831726
"SMAP2",0.292719683572041
"ZFP69B",0.780413666015045
"RP1-228H13.5",0.730826691799505
"ZFP69",0.632208098415044
"RP11-656D10.3",0.810462362460599
"EXO5",0.801833637951456
"ZNF684",0.403858573149002
"RIMS3",0.737269792034784
"NFYC-AS1",0.502327626526085
"NFYC",0.357049410665108
"KCNQ4",0.54222618724309
"CITED4",0.350476227965211
"CTPS1",0.203067273032585
"SLFNL1-AS1",0.590006428877505
"SLFNL1",0.719901945545783
"SCMH1",0.402302119538834
"FOXO6",0.557517221118738
"EDN2",0.531401808842562
