"","source_variances"
"S100PBP",0.296049576435758
"YARS",0.396486705603731
"FNDC5",0.644924740683371
"HPCA",0.613209285940378
"TMEM54",0.274628766599564
"RNF19B",0.30457877650609
"AK2",0.363334253421397
"AZIN2",0.361075490465239
"RP11-131M11.2",0.822817237302739
"RP11-131M11.3",0.804915865904342
"TRIM62",0.464784254906098
"ZNF362",0.358143508201246
"RP11-415J8.7",0.728678738457148
"RP11-415J8.3",0.41433224150664
"RN7SKP16",0.596003097684402
"PHC2",0.16769486638165
"ZSCAN20",0.46877016508434
"GJB5",0.810128166302019
"GJB3",0.776937203571145
"GJA4",0.775593098288619
"RP5-997D16.2",0.690540334616199
"SMIM12",0.268547595450483
"DLGAP3",0.698591459108394
"RP11-244H3.1",0.25961501537833
"TMEM35B",0.544426063752256
"ZMYM6",0.339171920987819
"ZMYM1",0.320316259766263
"SFPQ",0.512030927557214
"ZMYM4",0.436186532330943
"RPL5P4",0.715024119622337
"KIAA0319L",0.324782709444032
"NCDN",0.245816362854782
"TFAP2E",0.619605743619999
"RP4-728D4.2",0.820462981540828
"PSMB2",0.134684285463113
"C1orf216",0.427786430956386
"AGO4",0.360462826560906
"AGO1",0.625322043736821
"AGO3",0.326912813917186
"ADPRHL2",0.403885448229411
"COL8A2",0.363181731331409
"MAP7D1",0.25102394393638
"TRAPPC3",0.445806978998768
"THRAP3",0.451080735659235
"SH3D21",0.498936393299439
"EVA1B",0.371694535879441
"RP11-268J15.5",0.488988067421289
"STK40",0.229159522713601
"LSM10",0.318429247546649
"OSCP1",0.498541438983558
"MRPS15",0.529530954477755
"CSF3R",0.385953785471731
"GRIK3",0.745851925170035
"LINC01137",0.61307292625
"ZC3H12A",0.334748490302884
"MEAF6",0.346131488517559
"SNIP1",0.536137599156242
"DNALI1",0.397959403146819
"GNL2",0.360084287175581
"C1orf109",0.584525460225359
"CDCA8",0.653743935709832
"MANEAL",0.540458629322883
"YRDC",0.294637229444804
"C1orf122",0.270369173652737
"MTF1",0.460012305124718
"INPP5B",0.792282068944203
"SF3A3",0.321048324966152
"FHL3",0.433898688289334
"UTP11",0.217744278432957
"POU3F1",0.618324669808341
"RRAGC",0.400462189483077
"RP5-864K19.4",0.806497331516669
"MYCBP",0.321950423514993
"GJA9",0.740126331051128
"RHBDL2",0.511653719530647
"AKIRIN1",0.515648592423596
"NDUFS5",0.49544444184856
"MACF1",0.433608117376288
"BMP8A",0.574389108160835
"OXCT2P1",0.79840979883214
"RP11-69E11.4",0.276376877375799
"PPIEL",0.727522197079321
"SNORA55",0.65503004102082
"PABPC4",0.319674280389353
"HEYL",0.343676536613828
"NT5C1A",0.384501879790022
"HPCAL4",0.30697499610926
"PPIE",0.698571533575016
"OXCT2",0.686433718459959
"BMP8B",0.358993572066143
"TRIT1",0.346073549037341
"MYCL",0.421210538649034
"MFSD2A",0.621842226049237
"RP3-342P20.2",0.770973822765427
"CAP1",0.116303476717478
"PPT1",0.193496729566305
"RLF",0.450930359644156
"RP1-39G22.7",0.460691394247147
"ZMPSTE24",0.260808342777776
"COL9A2",0.496842088406113
"SMAP2",0.655777035978832
"ZFP69B",0.710345920172895
"RP1-228H13.5",0.628164404790689
"ZFP69",0.723259311454694
"RP11-656D10.3",0.828324810909037
"EXO5",0.4487550773361
"ZNF684",0.583919771226368
"RIMS3",0.508528654077591
"NFYC-AS1",0.501037678217197
"NFYC",0.509492193625114
"KCNQ4",0.625232778818368
"CITED4",0.615849318038707
"CTPS1",0.31413450341713
"SLFNL1-AS1",0.577976504315536
"SLFNL1",0.430545285014467
"SCMH1",0.438199107719166
"FOXO6",0.580803670754045
"EDN2",0.738350102293754
"HIVEP3",0.612664918568132
"FOXJ3",0.283072582890725
"RP11-223A3.1",0.822857482550589
"RIMKLA",0.521096051742626
"ZMYND12",0.433468198014621
"PPCS",0.269721623662334
"CCDC30",0.39666786908048
"PPIH",0.529740953834764
"RP5-994D16.3",0.851181348007625
"YBX1",0.379056998261923
"P3H1",0.338162764071361
"C1orf50",0.352285194702368
"RP5-994D16.9",0.707128164971516
"RP5-994D16.11",0.629977548415278
"SVBP",0.546629281443102
"ERMAP",0.481017676449641
"RP11-342M1.3",0.846369597250187
"ZNF691",0.271176420264817
"SLC2A1",0.639027718823256
"EBNA1BP2",0.233817983147464
"TIE1",0.585898293603433
"MPL",0.713919819005009
"RP1-92O14.3",0.488999597731096
"CDC20",0.606767889173556
"ELOVL1",0.229682229633508
"RP1-92O14.6",0.533611464363142
"MED8",0.327523128764059
"SZT2",0.208145140866547
"PTPRF",0.341058435553306
"KDM4A",0.282655634844867
"ST3GAL3",0.633398943995318
"KDM4A-AS1",0.543501063326463
"ARTN",0.338274276788517
"RP11-7O11.3",0.879315943740069
"IPO13",0.253835576714312
"DPH2",0.286480930674385
"ATP6V0B",0.238589919542692
"B4GALT2",0.172272711084986
"CCDC24",0.301155499508697
